;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;#1;#2;#3;#4;#5;#6;#7;#8
DC;0,0E+00;0,0E+00;0,0E+00;0,0E+00;0,0E+00;0,0E+00;0,0E+00;0,0E+00
;;;;;;;;
Photosynthetically Active Radiation;;;;;;;;
Begin Wavelength [nm];400;400;400;400;400;400;400;400
End Wavelength [nm];700;700;700;700;700;700;700;700
Ephot (Begin..End) [uMol/s sqm];1,4185E+01;1,1636E+01;2,1194E+01;2,6446E+01;3,2550E+01;2,8987E+01;2,9445E+01;3,0117E+01
Ephot (401..500nm) [uMol/s sqm];3,3014E+00;2,9693E+00;5,4523E+00;7,3265E+00;1,0290E+01;8,2479E+00;8,4868E+00;8,8606E+00
Ephot (501..600nm) [uMol/s sqm];1,7287E+00;1,5589E+00;2,8032E+00;3,7270E+00;5,1543E+00;4,1573E+00;4,2855E+00;4,4853E+00
Ephot (601..700nm) [uMol/s sqm];9,1545E+00;7,1069E+00;1,2938E+01;1,5393E+01;1,7102E+01;1,6580E+01;1,6671E+01;1,6770E+01
Ephot (701..800nm) [uMol/s sqm];6,0767E+00;3,4503E+00;4,3599E+00;4,3050E+00;5,1564E+00;5,0889E+00;5,1154E+00;5,1189E+00
;;;;;;;;
Circadian Metrics;;;;;;;;
Eec [W/sqm];8,882E-1;7,985E-1;1,459E+0;1,962E+0;2,761E+0;2,216E+0;2,281E+0;2,370E+0
acv;1,392E+0;1,462E+0;1,475E+0;1,550E+0;1,692E+0;1,590E+0;1,601E+0;1,610E+0
CCT [K];0;0;0;0;0;0;0;0
;;;;;;;;
LED Values;;;;;;;;
Peak Wavelength [nm];653,0;653,0;653,0;653,0;653,0;653,0;653,0;653,0
PEAK FWHM [nm];15,3;15,3;15,8;16,1;16,3;16,1;16,0;16,0
Centroid Wavelength [nm];615,5;601,2;592,7;584,1;574,8;583,7;582,5;581,0
;;;;;;;;
RGB Values;;;;;;;;
RGB Space;manual;manual;manual;manual;manual;manual;manual;manual
R;949,2;755,5;1383,6;1670,6;1906,7;1802,8;1816,6;1838,5
G;317,7;283,8;510,4;673,2;917,9;748,6;770,7;803,9
B;942,8;846,8;1564,2;2109,4;2970,8;2376,1;2443,0;2555,6
;;;;;;;;
Ratio Values;;;;;;;;
Wavelength Range Dividend [nm];600 - 700;600 - 700;600 - 700;600 - 700;600 - 700;600 - 700;600 - 700;600 - 700
Wavelength Range Divisor [nm];701 - 800;701 - 800;701 - 800;701 - 800;701 - 800;701 - 800;701 - 800;701 - 800
Ratio Value;1,6918;2,3164;3,3414;4,0310;3,7427;3,6726;3,6739;3,6932
;;;;;;;;
Name of spectral function;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv;2006-25-EG_80_B.csv
Spectral operation;Multiplication;Multiplication;Multiplication;Multiplication;Multiplication;Multiplication;Multiplication;Multiplication
Integral Value [W/sqm];7,194E-01;6,449E-01;1,196E+00;1,616E+00;2,281E+00;1,819E+00;1,874E+00;1,960E+00
;;;;;;;;
;;;;;;;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
350;-6,41701E-04;1,07884E-04;2,77934E-03;2,35364E-03;6,99119E-03;2,31526E-24;-2,36373E-04;-9,15422E-04
351;1,33478E-04;-2,22242E-05;-2,15679E-04;9,53804E-04;-7,35980E-04;-1,01893E-23;1,90978E-03;1,80193E-03
352;-4,73126E-05;6,55701E-06;6,36632E-05;1,81613E-03;9,79454E-04;6,28632E-23;2,64965E-03;2,71626E-03
353;3,43554E-05;-1,04473E-06;-1,02425E-05;-2,60705E-04;7,13681E-03;-2,12403E-22;3,74534E-04;-5,42033E-04
354;-2,54259E-05;4,15919E-08;4,96646E-07;2,32432E-05;2,58545E-04;1,90022E-22;4,73487E-05;1,23746E-03
355;5,32219E-04;1,15166E-08;7,40131E-07;9,45852E-05;7,10922E-05;1,28365E-21;1,19254E-05;-9,80820E-06
356;-1,28655E-04;-5,02295E-09;-6,14789E-06;7,36430E-04;-3,13142E-05;-1,24595E-20;5,66428E-06;6,53326E-04
357;4,45447E-04;1,19112E-09;3,05503E-05;-1,00439E-04;8,96081E-06;6,23855E-20;-5,56095E-05;-8,85635E-05
358;3,42776E-04;-2,37633E-10;-1,27253E-04;3,72785E-05;-8,18084E-06;-2,59952E-19;3,48287E-04;1,39277E-05
359;-4,19133E-05;3,41057E-11;8,65301E-04;-5,83681E-05;2,08342E-05;7,98440E-19;9,89187E-05;9,50545E-06
360;4,23896E-07;-9,17721E-13;1,97552E-05;4,00782E-04;-1,27989E-05;-4,95283E-19;-1,95243E-06;-7,41719E-06
361;-1,44445E-05;-8,14478E-13;2,60135E-05;-3,63136E-05;3,83985E-04;-1,04153E-17;1,09190E-05;3,66371E-04
362;1,37688E-04;3,93277E-13;4,25533E-05;3,75409E-05;3,18691E-04;8,47079E-17;-1,06326E-04;6,11490E-04
363;2,26390E-04;-5,72585E-13;-6,56853E-06;3,88506E-05;1,43047E-03;-4,49700E-16;7,12574E-04;5,04370E-04
364;-1,60215E-05;1,78748E-12;3,21048E-06;-5,08879E-06;2,02687E-04;1,60681E-15;4,08673E-04;-8,05647E-05
365;-3,26425E-05;-4,29380E-12;-5,41842E-06;5,47530E-07;4,74431E-04;-3,88672E-15;-3,89908E-05;4,34444E-05
366;3,61411E-04;-1,77321E-12;-2,19338E-06;7,76941E-10;1,18790E-03;-1,60561E-15;2,24711E-07;3,43427E-04
367;-3,55006E-05;1,02392E-10;1,31010E-04;5,02607E-07;1,04451E-04;9,27155E-14;-5,26426E-05;2,14287E-03
368;1,21761E-05;-7,39517E-10;5,07076E-04;-3,79919E-06;1,20491E-03;-6,69632E-13;4,48304E-04;-2,84275E-04
369;-3,87972E-06;3,54911E-09;-5,93103E-05;1,82709E-05;4,01124E-04;3,21371E-12;9,46802E-04;-3,20267E-06
370;4,39033E-06;-1,23491E-08;-5,11130E-05;-6,35802E-05;2,86681E-05;-1,11821E-11;5,29531E-04;4,20754E-04
371;-8,45050E-06;2,63851E-08;4,81632E-04;5,99058E-04;1,93787E-04;2,38916E-11;-5,19541E-05;5,64287E-05
372;9,33919E-05;5,42761E-08;2,72246E-04;8,05858E-04;5,01865E-06;4,91470E-11;1,13659E-03;2,01400E-06
373;5,43142E-06;-9,51492E-07;4,72077E-04;2,61541E-04;1,02911E-03;-8,61575E-10;3,78691E-04;4,85005E-05
374;1,67145E-04;6,15672E-06;-6,64534E-05;-1,82370E-05;1,00369E-03;5,57491E-09;6,52512E-04;1,56024E-04
375;7,42183E-05;-2,78178E-05;9,67496E-06;-3,59983E-05;1,47689E-04;-2,51890E-08;1,14453E-04;-2,24139E-05
376;-9,71946E-06;1,68600E-04;1,18549E-04;3,24486E-04;1,89620E-04;8,08015E-08;6,96344E-04;-1,15056E-06
377;1,55620E-06;1,42767E-05;8,11491E-04;6,95446E-04;1,39578E-03;-1,37031E-07;6,95541E-08;7,84587E-06
378;4,63082E-06;2,97170E-06;-4,44476E-05;1,57123E-04;-8,28520E-05;-7,18165E-07;6,40189E-04;4,29422E-05
379;-5,18850E-05;-4,68761E-07;2,13943E-05;3,38895E-05;4,33307E-05;8,30651E-06;-1,29814E-04;5,75874E-04
380;3,61401E-04;-6,11360E-06;4,32786E-06;-7,58242E-05;-1,28336E-05;-4,81459E-05;3,71646E-04;1,21905E-04
381;4,83337E-04;3,94013E-05;-4,37087E-05;5,18306E-04;6,32492E-06;2,88689E-04;5,40507E-04;-4,92065E-05
382;3,87420E-04;1,23728E-05;3,15602E-04;1,34834E-03;-1,25768E-05;7,94690E-05;1,77871E-05;2,20352E-04
383;1,24131E-04;-5,78103E-07;1,33066E-04;1,10046E-04;1,35878E-05;8,43404E-05;7,80727E-06;-9,27507E-06
384;9,59155E-05;-2,76143E-07;9,88666E-05;4,20393E-04;1,59232E-04;-2,46063E-05;1,04650E-04;5,81170E-04
385;1,68518E-04;1,05441E-07;8,48405E-04;7,84954E-04;1,11272E-03;1,64263E-04;1,30856E-03;9,18858E-05
386;-1,00682E-04;5,05647E-08;1,18034E-04;4,05310E-04;-1,47653E-04;3,00678E-04;4,12606E-04;3,47727E-04
387;4,81168E-04;-3,31287E-07;1,57073E-04;-1,40894E-04;8,69716E-04;-2,64227E-05;4,09695E-04;5,48087E-04
388;6,99219E-05;9,44958E-07;9,15514E-05;5,58997E-04;1,80069E-04;-4,90682E-05;6,53284E-04;9,64862E-04
389;3,77115E-04;-4,84530E-07;6,44103E-04;4,42308E-06;-1,15435E-05;4,54444E-04;3,51532E-04;3,51535E-04
390;-3,77876E-05;2,91645E-05;-4,70393E-05;1,37381E-04;5,67208E-04;4,06461E-05;7,61564E-04;7,58469E-04
391;1,43617E-05;-2,95169E-06;4,54799E-04;4,88530E-04;5,46955E-04;3,92170E-04;1,12366E-03;1,68048E-04
392;-3,20071E-06;-4,58668E-06;6,05607E-04;9,87743E-04;3,93437E-04;1,58209E-04;9,75990E-04;5,11414E-04
393;-9,55345E-07;3,30795E-05;3,83079E-04;4,09501E-04;1,79767E-04;2,43083E-04;1,06188E-03;1,29451E-03
394;7,96062E-05;-4,59469E-07;2,46334E-04;8,90585E-05;6,55335E-04;1,24406E-04;9,40970E-05;2,00575E-04
395;4,18644E-04;5,39897E-05;2,27447E-07;8,52904E-07;5,41130E-04;3,93858E-04;2,65870E-04;2,84267E-04
396;4,16327E-05;2,29515E-05;3,11858E-04;1,05424E-04;3,00552E-04;5,17175E-04;6,27201E-04;1,12074E-04
397;2,20754E-04;5,03773E-05;3,67059E-04;2,78308E-04;9,52441E-04;4,57884E-04;1,14755E-04;5,95630E-04
398;3,35644E-04;2,90568E-04;1,80739E-04;3,97000E-04;4,54373E-04;9,48021E-04;4,91743E-05;2,76383E-04
399;1,16105E-04;2,27855E-04;2,09909E-05;5,74889E-04;1,00822E-03;2,18281E-04;9,47840E-04;4,34548E-04
400;8,61418E-05;2,06138E-04;2,88364E-04;2,41506E-05;1,08014E-03;6,02971E-04;7,45322E-04;4,96185E-04
401;-3,43660E-06;1,24919E-04;2,77979E-04;3,81978E-04;9,11483E-04;7,61524E-04;5,30158E-04;2,83740E-04
402;1,58597E-05;3,04332E-04;3,45608E-05;4,82962E-04;6,71353E-04;9,90500E-04;9,97983E-04;5,79317E-04
403;5,02630E-05;1,47539E-04;3,12052E-04;4,76662E-04;3,86867E-04;1,02914E-03;8,88941E-04;-6,49683E-05
404;1,55575E-04;2,56584E-04;1,40215E-04;4,41749E-04;9,57071E-04;3,42185E-04;5,11195E-04;3,76396E-04
405;2,19330E-04;2,12365E-04;6,72787E-05;2,98682E-04;1,13022E-03;8,92851E-04;2,47417E-04;7,69220E-04
406;1,08491E-04;1,82220E-04;6,77905E-04;3,37709E-04;1,10472E-03;7,88507E-04;8,34096E-04;7,33356E-04
407;2,77657E-04;2,68615E-04;5,84914E-04;8,00933E-05;9,71071E-04;2,87985E-04;3,66134E-04;6,67760E-04
408;1,39921E-04;8,33481E-05;4,30777E-05;9,57430E-04;9,08586E-04;1,14429E-03;7,52215E-04;8,03572E-04
409;5,21838E-05;1,97627E-04;4,59669E-04;2,62246E-04;1,04437E-03;5,58272E-04;6,96121E-04;1,85906E-04
410;1,20279E-04;2,68241E-04;3,23802E-04;9,42109E-04;7,28312E-04;4,48997E-04;7,16635E-04;3,25377E-04
411;4,61045E-04;1,57657E-05;1,00357E-05;5,33532E-04;1,09089E-03;6,18906E-04;1,27111E-03;1,10717E-03
412;1,32636E-05;-1,20499E-05;9,40406E-04;7,37962E-04;1,01142E-03;2,85173E-04;7,59069E-04;9,60756E-04
413;5,63706E-04;1,82612E-04;5,01190E-04;6,54846E-04;1,31521E-03;3,11464E-04;1,33193E-03;1,36320E-03
414;4,54896E-04;1,61320E-04;4,58192E-04;2,29041E-04;1,54741E-03;7,07120E-04;8,36108E-04;1,04314E-03
415;5,43257E-04;4,10780E-04;5,16897E-04;8,26541E-04;1,38376E-03;7,32663E-04;1,18130E-03;1,16285E-03
416;4,01364E-04;6,41960E-05;4,35519E-04;8,78091E-04;1,17410E-03;1,02158E-03;1,12425E-03;1,06354E-03
417;3,96186E-04;3,33219E-04;6,30168E-04;1,00904E-03;1,36567E-03;1,52475E-03;1,45841E-03;1,09013E-03
418;2,58703E-04;2,42133E-04;8,98264E-04;8,77165E-04;1,71656E-03;1,00950E-03;1,51075E-03;1,26689E-03
419;5,52449E-04;4,67401E-04;1,18434E-03;1,16268E-03;1,70467E-03;1,27057E-03;1,53264E-03;1,61234E-03
420;6,53657E-04;7,68848E-04;7,84200E-04;1,66065E-03;1,95223E-03;1,27369E-03;1,82439E-03;1,89717E-03
421;8,97305E-04;5,12758E-04;1,45906E-03;2,17217E-03;2,19736E-03;2,15707E-03;2,39077E-03;2,03841E-03
422;8,12707E-04;3,64594E-04;1,51732E-03;2,26639E-03;2,81691E-03;1,85077E-03;2,10072E-03;2,29372E-03
423;7,94382E-04;9,00391E-04;1,67683E-03;2,16917E-03;2,96468E-03;2,24789E-03;3,07182E-03;2,51341E-03
424;9,76047E-04;7,09690E-04;2,11121E-03;2,67286E-03;3,75939E-03;2,42608E-03;2,61695E-03;3,61752E-03
425;1,35051E-03;1,15828E-03;1,93585E-03;2,55210E-03;4,18886E-03;3,64724E-03;3,35896E-03;3,71595E-03
426;1,39272E-03;1,20799E-03;2,31412E-03;3,42035E-03;4,46897E-03;4,31531E-03;3,67173E-03;4,29129E-03
427;1,63046E-03;1,56657E-03;2,56403E-03;3,68335E-03;5,50210E-03;4,15860E-03;4,29258E-03;4,83315E-03
428;1,80599E-03;1,50663E-03;3,33536E-03;4,14598E-03;6,49504E-03;4,91895E-03;5,28804E-03;5,21548E-03
429;1,99489E-03;1,48824E-03;3,21101E-03;5,05126E-03;8,22971E-03;5,91567E-03;6,09311E-03;6,80037E-03
430;2,58286E-03;2,04940E-03;3,91926E-03;5,91644E-03;8,72920E-03;7,13537E-03;7,00237E-03;7,49014E-03
431;2,44195E-03;2,34711E-03;4,90126E-03;7,18201E-03;1,06737E-02;7,57933E-03;8,42755E-03;8,60708E-03
432;3,19231E-03;2,66009E-03;5,26555E-03;7,65347E-03;1,17314E-02;9,02116E-03;9,32367E-03;9,88786E-03
433;3,50482E-03;3,18106E-03;6,49543E-03;9,14411E-03;1,34127E-02;1,00519E-02;1,02799E-02;1,10898E-02
434;4,37618E-03;3,77119E-03;7,61734E-03;1,04411E-02;1,57391E-02;1,12063E-02;1,18293E-02;1,27196E-02
435;4,49639E-03;4,09359E-03;8,19188E-03;1,18150E-02;1,85654E-02;1,37644E-02;1,39404E-02;1,46475E-02
436;5,26382E-03;5,21894E-03;9,36164E-03;1,28065E-02;1,91034E-02;1,49326E-02;1,59197E-02;1,64681E-02
437;6,15260E-03;5,67945E-03;1,09490E-02;1,59586E-02;2,29208E-02;1,77191E-02;1,85512E-02;1,97227E-02
438;7,15852E-03;6,37787E-03;1,21677E-02;1,78602E-02;2,59044E-02;1,99503E-02;2,04829E-02;2,14341E-02
439;8,29996E-03;6,96954E-03;1,41487E-02;1,97145E-02;2,99155E-02;2,22391E-02;2,35710E-02;2,49146E-02
440;9,46939E-03;8,46506E-03;1,56920E-02;2,25466E-02;3,39021E-02;2,64847E-02;2,75091E-02;2,85174E-02
441;1,02578E-02;9,51967E-03;1,84770E-02;2,65121E-02;3,84200E-02;2,95641E-02;3,08702E-02;3,32756E-02
442;1,22384E-02;1,12233E-02;2,17740E-02;3,04935E-02;4,53141E-02;3,40631E-02;3,61833E-02;3,82318E-02
443;1,39390E-02;1,25941E-02;2,51662E-02;3,59351E-02;5,26378E-02;4,02997E-02;4,21157E-02;4,41004E-02
444;1,65615E-02;1,50688E-02;2,93530E-02;4,00937E-02;6,13474E-02;4,62960E-02;4,79329E-02;5,14370E-02
445;1,95102E-02;1,65848E-02;3,39604E-02;4,71053E-02;6,95435E-02;5,40211E-02;5,56277E-02;5,85622E-02
446;2,20190E-02;1,94788E-02;3,85130E-02;5,33745E-02;8,06611E-02;6,14586E-02;6,36204E-02;6,73826E-02
447;2,56991E-02;2,26605E-02;4,37405E-02;6,18879E-02;8,93125E-02;6,95415E-02;7,19308E-02;7,53245E-02
448;2,89740E-02;2,55348E-02;4,90431E-02;6,81177E-02;9,81983E-02;7,72034E-02;8,03902E-02;8,30573E-02
449;3,15099E-02;2,84485E-02;5,42187E-02;7,44398E-02;1,06303E-01;8,43463E-02;8,61548E-02;9,13741E-02
450;3,37127E-02;3,08042E-02;5,70498E-02;7,92879E-02;1,11911E-01;8,82386E-02;9,06550E-02;9,52859E-02
451;3,58034E-02;3,17333E-02;5,96008E-02;8,22207E-02;1,16203E-01;9,09266E-02;9,35069E-02;9,91140E-02
452;3,67345E-02;3,29110E-02;6,09551E-02;8,23191E-02;1,15346E-01;9,41395E-02;9,49600E-02;9,96916E-02
453;3,71170E-02;3,28093E-02;6,06247E-02;8,12653E-02;1,13814E-01;9,23438E-02;9,30017E-02;9,79360E-02
454;3,54200E-02;3,22578E-02;5,87166E-02;7,80242E-02;1,07653E-01;8,80358E-02;9,02852E-02;9,46604E-02
455;3,45286E-02;3,11325E-02;5,55778E-02;7,36828E-02;1,01782E-01;8,30214E-02;8,49615E-02;8,82185E-02
456;3,14775E-02;2,86048E-02;5,16811E-02;6,84487E-02;9,35206E-02;7,52370E-02;7,82144E-02;8,09611E-02
457;2,93857E-02;2,64212E-02;4,71990E-02;6,22790E-02;8,47895E-02;6,93142E-02;7,15147E-02;7,38769E-02
458;2,68838E-02;2,44878E-02;4,29888E-02;5,63761E-02;7,74668E-02;6,36595E-02;6,45758E-02;6,74154E-02
459;2,48980E-02;2,20534E-02;3,91780E-02;5,19400E-02;6,96342E-02;5,73849E-02;5,92519E-02;6,12751E-02
460;2,19167E-02;1,96869E-02;3,60955E-02;4,63985E-02;6,32254E-02;5,24273E-02;5,39738E-02;5,50637E-02
461;2,06550E-02;1,90344E-02;3,32699E-02;4,34450E-02;5,81844E-02;4,83063E-02;4,88829E-02;5,11338E-02
462;1,90750E-02;1,72084E-02;3,08607E-02;3,97505E-02;5,45863E-02;4,59155E-02;4,63456E-02;4,73957E-02
463;1,79611E-02;1,65032E-02;2,85911E-02;3,74739E-02;5,10182E-02;4,23078E-02;4,28490E-02;4,47770E-02
464;1,68110E-02;1,50638E-02;2,72800E-02;3,53387E-02;4,78217E-02;3,92778E-02;4,07789E-02;4,22334E-02
465;1,61595E-02;1,44468E-02;2,59484E-02;3,24685E-02;4,51120E-02;3,74120E-02;3,83020E-02;3,91364E-02
466;1,50548E-02;1,30995E-02;2,37514E-02;3,06754E-02;4,17423E-02;3,47669E-02;3,48593E-02;3,61756E-02
467;1,35211E-02;1,22643E-02;2,22814E-02;2,76714E-02;3,90110E-02;3,19465E-02;3,30226E-02;3,39570E-02
468;1,28272E-02;1,16124E-02;2,02317E-02;2,65963E-02;3,52615E-02;2,89567E-02;3,04490E-02;3,12530E-02
469;1,18878E-02;1,05342E-02;1,83011E-02;2,39815E-02;3,20839E-02;2,70283E-02;2,69717E-02;2,91504E-02
470;1,06572E-02;9,76458E-03;1,67585E-02;2,18395E-02;2,92790E-02;2,42034E-02;2,50515E-02;2,59720E-02
471;9,49643E-03;8,82338E-03;1,52061E-02;1,98527E-02;2,61121E-02;2,25182E-02;2,25564E-02;2,31282E-02
472;8,96132E-03;7,97909E-03;1,36107E-02;1,76972E-02;2,39629E-02;1,97317E-02;1,93466E-02;2,12146E-02
473;7,37068E-03;7,03447E-03;1,24218E-02;1,59721E-02;2,09693E-02;1,74116E-02;1,84563E-02;1,80403E-02
474;6,79158E-03;6,48951E-03;1,07627E-02;1,40818E-02;1,92546E-02;1,57950E-02;1,58706E-02;1,73526E-02
475;6,22282E-03;5,73835E-03;1,00904E-02;1,28292E-02;1,70989E-02;1,43313E-02;1,49032E-02;1,50228E-02
476;5,88444E-03;5,15609E-03;8,87715E-03;1,11674E-02;1,53283E-02;1,28471E-02;1,33841E-02;1,35997E-02
477;5,24513E-03;4,73747E-03;8,17548E-03;1,09260E-02;1,46842E-02;1,20010E-02;1,19437E-02;1,23111E-02
478;4,56468E-03;4,26380E-03;7,57260E-03;9,30271E-03;1,31730E-02;1,09374E-02;1,11675E-02;1,12088E-02
479;4,35403E-03;4,08584E-03;6,88712E-03;9,05253E-03;1,18967E-02;9,26687E-03;9,71183E-03;1,06348E-02
480;3,96675E-03;3,67462E-03;6,29729E-03;8,28101E-03;1,13115E-02;9,24418E-03;9,41495E-03;9,84454E-03
481;3,94645E-03;3,57657E-03;6,09716E-03;7,65983E-03;1,02218E-02;8,49621E-03;8,91111E-03;8,93432E-03
482;3,56824E-03;3,08811E-03;5,54635E-03;7,27965E-03;9,37700E-03;7,69764E-03;8,22240E-03;8,49237E-03
483;3,33367E-03;2,83747E-03;5,18021E-03;6,41349E-03;8,96419E-03;7,21379E-03;7,53403E-03;7,80740E-03
484;3,14434E-03;2,77214E-03;4,91962E-03;6,24046E-03;8,26244E-03;6,94629E-03;6,93542E-03;6,75447E-03
485;2,72175E-03;2,60198E-03;4,44147E-03;5,51923E-03;7,81338E-03;5,91833E-03;6,13795E-03;6,99264E-03
486;2,60215E-03;2,36101E-03;4,05532E-03;5,63623E-03;7,39425E-03;6,00371E-03;6,15715E-03;6,37225E-03
487;2,37113E-03;2,24053E-03;3,64577E-03;4,89286E-03;6,56512E-03;5,37226E-03;5,58232E-03;5,88142E-03
488;2,14769E-03;2,14830E-03;3,68345E-03;4,39777E-03;5,96131E-03;5,52371E-03;5,18073E-03;5,36546E-03
489;2,22929E-03;2,02980E-03;3,35497E-03;4,60833E-03;6,24933E-03;5,01381E-03;5,12778E-03;5,67961E-03
490;2,16443E-03;1,95238E-03;3,22574E-03;4,33985E-03;5,82716E-03;4,72542E-03;4,95804E-03;4,92666E-03
491;2,05468E-03;1,89487E-03;3,22492E-03;4,04130E-03;5,13359E-03;4,46310E-03;4,70378E-03;4,67473E-03
492;1,84168E-03;1,77619E-03;2,72087E-03;3,95850E-03;4,90492E-03;4,23136E-03;4,67998E-03;4,75025E-03
493;1,67037E-03;1,71112E-03;2,92174E-03;3,86100E-03;5,18321E-03;4,02778E-03;4,25456E-03;4,73159E-03
494;1,76708E-03;1,70672E-03;2,96710E-03;3,47877E-03;4,90015E-03;4,08385E-03;4,32023E-03;4,33399E-03
495;1,65399E-03;1,65351E-03;2,70200E-03;3,72026E-03;4,99551E-03;3,87596E-03;4,34890E-03;4,24474E-03
496;1,83278E-03;1,49137E-03;2,76822E-03;3,54612E-03;4,94474E-03;3,90689E-03;4,32175E-03;4,46414E-03
497;1,68553E-03;1,70815E-03;2,83719E-03;3,73372E-03;5,36242E-03;3,96920E-03;4,23943E-03;4,44254E-03
498;1,83525E-03;1,55662E-03;2,74960E-03;3,67029E-03;4,89725E-03;4,38742E-03;4,27206E-03;4,36340E-03
499;1,76494E-03;1,59857E-03;2,78974E-03;3,79520E-03;5,60805E-03;4,40318E-03;4,00419E-03;4,53729E-03
500;1,81976E-03;1,70970E-03;2,90377E-03;3,97835E-03;5,57707E-03;4,68643E-03;4,72339E-03;4,56571E-03
501;1,87009E-03;1,81528E-03;2,98839E-03;4,08512E-03;5,59036E-03;4,39538E-03;4,57297E-03;5,02586E-03
502;1,76620E-03;1,66629E-03;3,42810E-03;4,13065E-03;5,67341E-03;4,65745E-03;4,76201E-03;5,38965E-03
503;1,86041E-03;1,73621E-03;3,00060E-03;4,48239E-03;6,00367E-03;5,06740E-03;5,30446E-03;4,75636E-03
504;2,01292E-03;1,77581E-03;3,57214E-03;4,51996E-03;6,04778E-03;5,32576E-03;4,94893E-03;5,56982E-03
505;2,26014E-03;1,95175E-03;3,44355E-03;4,72566E-03;6,50922E-03;5,31066E-03;5,21973E-03;5,73319E-03
506;2,18246E-03;2,07532E-03;3,47704E-03;4,80142E-03;6,33960E-03;5,65803E-03;5,34706E-03;5,66850E-03
507;2,40038E-03;2,10741E-03;3,94629E-03;5,30766E-03;7,10830E-03;5,33376E-03;5,90536E-03;6,41255E-03
508;2,27861E-03;2,10297E-03;3,87932E-03;5,23305E-03;7,12132E-03;5,79708E-03;6,17249E-03;6,26886E-03
509;2,35687E-03;2,07356E-03;4,21859E-03;5,52684E-03;7,05030E-03;5,66410E-03;6,15756E-03;6,66180E-03
510;2,67546E-03;2,39077E-03;4,15477E-03;5,64659E-03;7,42154E-03;6,01975E-03;6,36421E-03;6,64428E-03
511;2,62169E-03;2,40045E-03;4,48319E-03;5,66342E-03;8,04208E-03;6,54649E-03;6,50307E-03;7,02920E-03
512;2,67480E-03;2,42165E-03;4,50853E-03;5,83662E-03;8,07585E-03;6,56887E-03;6,89699E-03;7,23761E-03
513;2,75898E-03;2,64857E-03;4,95787E-03;6,32946E-03;8,64019E-03;7,15829E-03;7,20844E-03;7,14478E-03
514;2,93285E-03;2,58940E-03;4,68586E-03;6,40731E-03;8,63759E-03;7,04452E-03;7,19602E-03;7,72546E-03
515;2,97659E-03;2,48797E-03;4,72534E-03;6,30338E-03;9,10335E-03;7,09797E-03;7,63395E-03;7,89297E-03
516;2,98233E-03;2,84603E-03;4,97006E-03;6,41199E-03;9,29975E-03;7,28783E-03;7,60659E-03;8,29890E-03
